_time,host,user,EventCode,src_ip,dest_ip,logon_type,status,process_name,new_account,group_name,description
2026-07-22 08:00:37,WEB01,fD'souza,4776,192.168.1.112,192.168.1.14,,0x0,,,,The domain controller attempted to validate credentials for fD'souza (NTLM to WEB01)
2026-07-22 08:02:21,DC01,itadmin2,4724,192.168.1.10,192.168.1.10,,0x0,,,,An attempt was made to reset tnayak's password by itadmin2
2026-07-22 08:06:03,FS01,svc_sql,4624,192.168.1.11,192.168.1.11,5,0x0,,,,An account was successfully logged on: svc_sql service logon (SQL service)
2026-07-22 08:06:24,DC01,mkapoor,4768,192.168.1.103,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for mkapoor
2026-07-22 08:06:26,WS-03,mkapoor,4624,192.168.1.103,192.168.1.103,2,0x0,,,,An account was successfully logged on: mkapoor at WS-03
2026-07-22 08:08:50,WS-19,SYSTEM,4698,192.168.1.119,192.168.1.119,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by SYSTEM on WS-19 (routine maintenance task)
2026-07-22 08:11:05,WS-17,itadmin1,4698,192.168.1.117,192.168.1.117,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by itadmin1 on WS-17 (routine maintenance task)
2026-07-22 08:12:29,FS01,itadmin2,4688,192.168.1.11,192.168.1.11,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin2: powershell.exe -Command ""Restart-Service -Name Spooler"""
2026-07-22 08:22:46,DC01,itadmin3,4724,192.168.1.10,192.168.1.10,,0x0,,,,An attempt was made to reset itadmin2's password by itadmin3
2026-07-22 08:23:17,DC01,mreddy,4768,192.168.1.111,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for mreddy
2026-07-22 08:23:19,WS-11,mreddy,4624,192.168.1.111,192.168.1.111,2,0x0,,,,An account was successfully logged on: mreddy at WS-11
2026-07-22 08:27:04,WS-11,mreddy,4625,192.168.1.111,192.168.1.111,2,0xC000006A,,,,An account failed to log on: mreddy at WS-11 (bad password typo)
2026-07-22 08:28:00,DC01,itadmin1,4768,192.168.1.102,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for itadmin1
2026-07-22 08:28:02,WS-02,itadmin1,4624,192.168.1.102,192.168.1.102,2,0x0,,,,An account was successfully logged on: itadmin1 at WS-02
2026-07-22 08:28:15,WS-03,itadmin1,4698,192.168.1.103,192.168.1.103,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by itadmin1 on WS-03 (routine maintenance task)
2026-07-22 08:28:42,FS02,vrao,4624,192.168.1.108,192.168.1.12,3,0x0,,,,An account was successfully logged on: vrao network logon to FS02 share access
2026-07-22 08:29:04,DC01,lfernandes,4768,192.168.1.119,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for lfernandes
2026-07-22 08:29:06,WS-19,lfernandes,4624,192.168.1.119,192.168.1.119,2,0x0,,,,An account was successfully logged on: lfernandes at WS-19
2026-07-22 08:29:07,DC01,Administrator,4672,192.168.1.10,192.168.1.10,,,,,,Special privileges assigned to new logon: Administrator (Administrators group) on DC01
2026-07-22 08:31:20,WS-11,itadmin2,4688,192.168.1.111,192.168.1.111,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin2: powershell.exe -Command ""Get-Service | Where-Object {$_.Status -eq 'Stopped'}"""
2026-07-22 08:31:37,WS-06,itadmin2,4698,192.168.1.106,192.168.1.106,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by itadmin2 on WS-06 (routine maintenance task)
2026-07-22 08:31:42,FS02,hshetty,4624,192.168.1.105,192.168.1.12,3,0x0,,,,An account was successfully logged on: hshetty network logon to FS02 share access
2026-07-22 08:33:59,DC01,cwilliams,4768,192.168.1.102,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for cwilliams
2026-07-22 08:34:01,WS-02,cwilliams,4624,192.168.1.102,192.168.1.102,2,0x0,,,,An account was successfully logged on: cwilliams at WS-02
2026-07-22 08:36:24,DC01,rmehta,4768,192.168.1.115,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for rmehta
2026-07-22 08:36:26,WS-15,rmehta,4624,192.168.1.115,192.168.1.115,2,0x0,,,,An account was successfully logged on: rmehta at WS-15
2026-07-22 08:42:17,DC01,itadmin1,4724,192.168.1.10,192.168.1.10,,0x0,,,,An attempt was made to reset rbhat's password by itadmin1
2026-07-22 08:43:56,DC01,itadmin2,4768,192.168.1.112,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for itadmin2
2026-07-22 08:43:58,WS-12,itadmin2,4624,192.168.1.112,192.168.1.112,2,0x0,,,,An account was successfully logged on: itadmin2 at WS-12
